0,PSantiagoSantiago,18.4896,5250565,99999999999,2266,2376,10252,17776,1870,4136,11176
1,Valparaiso,32.3568,296655,2266,99999999999,110,10054,17358,2310,4048,11066
2,Viña,25.3576,334248,2376,110,99999999999,9988,17490,2288,4048,11066
3,Coquimbo,20.4538,227730,10252,10054,9988,99999999999,5456,8074,7920,12518
4,Copiapo,23.1547,153937,17776,17358,17490,5456,99999999999,14828,13156,14696
5,Rancagua,22.4836,241774,1870,2310,2288,8074,14828,99999999999,1386,8888
6,Curico,26.3986,149136,4136,4048,4048,7920,13156,1386,99999999999,6732
7,Concepcion,19.9462,223574,11176,11066,11066,12518,14696,8888,6732,99999999999
