0,PSantiagoSantiago,18.4896,5250565,99999999999,2266,10252,17776,1870,4136,11176
1,Valparaiso,32.3568,296655,2266,99999999999,10054,17358,2310,4048,11066
2,Coquimbo,20.4538,227730,10252,10054,99999999999,5456,8074,7920,12518
3,Copiapo,23.1547,153937,17776,17358,5456,99999999999,14828,13156,14696
4,Rancagua,22.4836,241774,1870,2310,8074,14828,99999999999,1386,8888
5,Curico,26.3986,149136,4136,4048,7920,13156,1386,99999999999,6732
6,Concepcion,19.9462,223574,11176,11066,12518,14696,8888,6732,99999999999
